DIM1	DIM2	type	viroid	class	train_label	pred_label
10.6072758463535	-4.96219470423103	unknown	AB623143.1	1	unknown	mild
10.8424867533853	-4.75117612531	mild	KT987925.1	1	mild	mild
10.4785204744613	-5.08654742522807	mild	LC388852.1	1	unknown	mild
10.4483034638523	-5.10249593711356	mild	LC388854.1	1	unknown	mild
10.5157160791526	-5.04452220343789	unknown	LC388855.1	1	unknown	mild
10.5766485351668	-4.99189650784067	unknown	LC388856.1	1	unknown	mild
10.5519894738762	-5.01505024431989	unknown	LC388857.1	1	unknown	mild
10.6493465842439	-4.91994125756912	unknown	LC388858.1	1	unknown	mild
10.5940623075459	-4.97867354736989	unknown	LC388859.1	1	unknown	mild
10.7429133286944	-4.83464260704688	unknown	LC388861.1	1	unknown	mild
10.4671589452547	-5.10536074121355	unknown	LC388862.1	1	unknown	mild
10.5369987356788	-5.00296646006771	mild	MG450357.1	1	mild	mild
2.52945883728575	-1.05001293173153	unknown	AF369530.1	2	unknown	severe
-7.93839141253648	7.79160922680692	unknown	AF454395.1	2	unknown	severe
-1.49893920893704	2.18114164789882	unknown	AF458986.1	2	unknown	severe
-1.56750123877683	2.21141859954033	unknown	AF458987.1	2	unknown	severe
-1.57256079581486	2.35289713480067	unknown	AF458988.1	2	unknown	severe
-1.83138115200381	2.20403607168845	unknown	AF458989.1	2	unknown	severe
-1.59704824884372	2.12666494419771	unknown	AF458990.1	2	unknown	severe
-1.77992740166959	2.3835302367912	unknown	AF458991.1	2	unknown	severe
-1.73535788404743	2.19227681652329	unknown	AF458992.1	2	unknown	severe
-1.65311147458813	2.36094732323202	unknown	AF458993.1	2	unknown	severe
-1.93541261273715	2.41930350313134	unknown	AF458994.1	2	unknown	severe
1.55607039910843	0.229749071577668	unknown	AF458995.1	2	unknown	severe
-1.75337356863748	2.47472712401762	unknown	AF458997.1	2	unknown	severe
-1.58113375976496	-0.433440638601243	unknown	AF458998.1	2	unknown	severe
1.38399762636323	0.196318326327439	unknown	AF458999.1	2	unknown	severe
-1.60786975964412	-0.433346765091969	unknown	AF459000.1	2	unknown	severe
-1.57989215515976	-0.439819964271341	unknown	AF459001.1	2	unknown	severe
-1.58998693946083	-0.454119485854479	unknown	AF459002.1	2	unknown	severe
-8.06255982552062	7.50031311413998	unknown	AF459003.1	2	unknown	severe
-1.63746825701362	-0.423739681855265	unknown	AF459004.1	2	unknown	severe
-1.88428075068752	2.49246586715864	unknown	AF459005.1	2	unknown	severe
-1.94281766592853	2.37293378484806	unknown	AF459006.1	2	unknown	severe
-1.65287173496584	2.43263164398649	unknown	AF459007.1	2	unknown	severe
-7.83846329098171	7.8066447487316	unknown	AJ515261.1	2	unknown	severe
2.45618162974148	-0.951771381475852	unknown	AJ583449.1	2	unknown	severe
