DIM1	DIM2	type	viroid	class	train_label	pred_label
-7.37959025482032	-4.48280721999203	unknown	AB623143.1	1	unknown	mild
-5.37251851790229	-3.60051979922729	unknown	AF483471.1	1	unknown	mild
-5.02723270477902	-3.36601216768646	unknown	AY372398.1	1	unknown	mild
-6.36751924831382	-4.3930054810226	mild	EF192393.1	1	unknown	mild
-6.45141155156253	-4.29344681719448	mild	EF192394.1	1	unknown	mild
-6.39624095942999	-4.45768544047354	unknown	EF459697.1	1	unknown	mild
-6.02002549730975	-4.18301496806756	unknown	EF459698.1	1	unknown	mild
-6.31692416598583	-4.44475667350298	unknown	EF459699.1	1	unknown	mild
-6.55204662097774	-4.47915079116349	unknown	EF459701.1	1	unknown	mild
-6.39811416189908	-4.7956135306092	mild	EF580923.1	1	mild	mild
-6.43846787667017	-4.46961207327378	unknown	FJ872825.1	1	unknown	mild
-4.77532985123987	-3.57391345052718	unknown	FM998543.1	1	unknown	mild
-4.64255986006528	-3.51434072970982	unknown	FM998544.1	1	unknown	mild
-4.83810024533979	-3.47290364725025	unknown	FM998545.1	1	unknown	mild
-6.64919241716073	-4.16064488032273	unknown	FM998546.1	1	unknown	mild
-6.69285887107857	-4.46981223026718	unknown	FM998547.1	1	unknown	mild
-6.41361079017216	-4.34609199696652	unknown	FM998548.1	1	unknown	mild
-6.62714880251038	-4.60272704636245	unknown	FM998549.1	1	unknown	mild
-4.90429559571928	-3.36700027447662	unknown	FM998550.1	1	unknown	mild
-6.44592006476504	-4.10474460859264	unknown	FM998551.1	1	unknown	mild
-6.1664709166307	-4.68040291561721	unknown	HQ454919.1	1	unknown	mild
-6.1355041042898	-4.19998386385283	unknown	HQ454920.1	1	unknown	mild
-6.23201901155947	-4.0099606885064	unknown	HQ454921.1	1	unknown	mild
-5.69800305344041	-3.84006868645705	unknown	HQ454922.1	1	unknown	mild
-6.48195369467211	-4.66711133017958	unknown	HQ454923.1	1	unknown	mild
-6.43612739796522	-4.16210965901691	unknown	HQ454924.1	1	unknown	mild
-5.6763602001059	-3.82827746901232	unknown	HQ454925.1	1	unknown	mild
-6.31483037728929	-4.64440625861801	unknown	HQ454926.1	1	unknown	mild
-5.06200250648263	-3.31627499276308	unknown	HQ454927.1	1	unknown	mild
-6.81295403712443	-4.85774712184049	unknown	HQ454928.1	1	unknown	mild
-5.01292556972905	-3.33398082162358	unknown	HQ454929.1	1	unknown	mild
-5.34469379457899	-3.59146609984725	unknown	HQ454930.1	1	unknown	mild
-4.79294678814587	-3.12500540200705	unknown	HQ454931.1	1	unknown	mild
-4.76022179223952	-3.48357464346546	unknown	HQ454932.1	1	unknown	mild
-6.32970837974317	-4.29209618179869	unknown	HQ454937.1	1	unknown	mild
-6.3887934262647	-4.85309976676039	unknown	HQ456944.1	1	unknown	mild
-4.70943496121831	-3.43832997185409	unknown	KC810008.1	1	unknown	mild
-4.61703886879281	-3.51150048113824	unknown	KC810009.1	1	unknown	mild
-5.16939460613266	-3.17090321571802	mild	KF418767.1	1	unknown	mild
-6.6358633324963	-4.40860651195369	unknown	KF418768.1	1	unknown	mild
-6.4376394664949	-4.6919570658739	moderate	KF683200.1	1	unknown	mild
-7.45397730358028	-4.69011144471456	mild	KT987925.1	1	mild	mild
-7.58720182563727	-4.61149851948645	mild	LC388852.1	1	unknown	mild
-4.61618460379971	-3.42264845587039	unknown	LC388855.1	1	unknown	mild
-7.58531915592694	-4.78879550133218	unknown	LC388856.1	1	unknown	mild
-7.62982012808497	-4.63688798288877	unknown	LC388857.1	1	unknown	mild
-6.38679536436194	-4.23272090151854	unknown	LC388858.1	1	unknown	mild
-7.43056129432663	-4.40158513839714	unknown	LC388859.1	1	unknown	mild
-7.51305864983308	-4.62551879917448	unknown	LC388861.1	1	unknown	mild
-7.60745488173452	-4.55817948093384	unknown	LC388862.1	1	unknown	mild
-7.73010124859887	-4.51296782780272	mild	MG450357.1	1	mild	mild
-7.69095607511088	-4.60713268418087	unknown	MG450358.1	1	unknown	mild
-2.43216472224275	0.197557155485928	unknown	AF369530.1	2	unknown	severe
-0.304686715868828	8.09640792402406	moderate	AF454395.1	2	unknown	severe
0.703694172896727	4.07545566026155	unknown	AF458986.1	2	unknown	severe
0.788123671544703	3.9341912705909	unknown	AF458987.1	2	unknown	severe
0.755226160302133	4.00818788556559	unknown	AF458988.1	2	unknown	severe
0.872058276967047	3.9754155181289	unknown	AF458989.1	2	unknown	severe
